City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
mecca,12,SA,1635299111,54,21.4267,39.8261,78.75,1.92
ubala,100,CO,1635299306,94,4.7478,-72.5369,74.1,4.38
corinto,40,NI,1635299307,84,12.482,-87.1734,79.66,0.45
cape canaveral,1,US,1635299307,74,28.4058,-80.6048,77.04,8.05
svetogorsk,100,RU,1635299308,94,61.1121,28.8632,45.36,4.92
diapaga,91,BF,1635299308,37,12.0708,1.7889,79.16,5.55
road town,10,VG,1635299308,73,18.4167,-64.6167,81.19,9.53
priladozhskiy,100,RU,1635299309,55,59.85,31.4833,44.62,10.69
olen,100,NO,1635299309,96,59.6044,5.808,55.42,9.53
khiv,31,RU,1635299310,71,41.7543,47.9306,27.12,6.64
alofi,75,NU,1635299310,61,-19.0595,-169.9187,80.49,17.27
pirapora,44,BR,1635299310,68,-17.345,-44.9419,75.56,6.35
vila do maio,85,CV,1635299371,76,15.1333,-23.2167,77.79,13.04
quthing,12,LS,1635299371,72,-30.4,27.7003,55.76,4.88
wanning,98,CN,1635299371,92,18.8003,110.3967,76.21,7.7
mandera,63,KE,1635299372,62,3.9366,41.867,79.14,14
derby,75,US,1635299082,78,37.5456,-97.2689,69.69,1.99
rochegda,100,RU,1635299372,98,62.8,43.25,36.25,7.83
sesto calende,15,IT,1635299373,91,45.7261,8.634,50.59,6.91
coihaique,90,CL,1635299342,66,-45.5752,-72.0662,53.55,4.61
chissamba,97,AO,1635299373,91,-12.1667,17.3333,63.81,2.04
buluang,96,PH,1635299373,65,13.3068,123.3425,86.65,4
worland,1,US,1635299374,87,44.0169,-107.9554,42.28,4.61
sao joao da barra,100,BR,1635299374,93,-21.6403,-41.0511,73.02,5.03
port huron,90,US,1635299374,82,42.9709,-82.4249,46.44,8.01
hami,0,CN,1635299375,28,42.8,93.45,52.25,1.81
nikel,100,RU,1635299375,83,69.4128,30.222,32.18,10.8
ola,59,RU,1635299375,72,59.5833,151.2833,28.36,6.2
havre,1,US,1635299376,37,48.55,-109.6841,50.27,18.41
dubbo,0,AU,1635299376,27,-32.25,148.6167,77.13,9.22
mount gambier,100,AU,1635299377,22,-37.8333,140.7667,80.51,17.27
qaqortoq,88,GL,1635299377,60,60.7167,-46.0333,32.5,6.13
nyaunglebin,8,MM,1635299377,85,17.95,96.7333,79.14,2.98
lamu,39,KE,1635299378,88,-2.2717,40.902,79.02,8.12
saint-augustin,10,CA,1635299378,74,51.226,-58.6502,38.17,6.53
lengshuitan,100,CN,1635299378,83,26.4111,111.5956,60.51,2.82
jamai,30,IN,1635299379,66,22.2,78.5833,66.65,4.41
nanchang,91,CN,1635299379,57,28.6833,115.8833,68.16,6.2
skibbereen,100,IE,1635299380,95,51.55,-9.2667,58.8,25.28
tabuk,0,SA,1635299380,45,28.3833,36.5833,64.42,8.05
havoysund,91,NO,1635299380,60,70.9963,24.6622,32.88,27.11
ordzhonikidze,32,UA,1635299381,75,44.9654,35.3658,48.06,7.43
robertsport,89,LR,1635299381,85,6.7533,-11.3686,77.05,2.95
afua,97,BR,1635299382,81,-0.1567,-50.3867,77.36,6.58
cortez,20,US,1635299382,64,37.3489,-108.5859,41.76,11.5
hamilton,90,BM,1635299382,93,32.2915,-64.778,81.0,21
yertsevo,100,RU,1635299383,97,60.7966,40.086,35.89,7.09
jiujiang,98,CN,1635299383,59,29.7333,115.9833,67.32,5.41
benguela,94,AO,1635299383,74,-12.5763,13.4055,72.86,2.21
margate,100,ZA,1635299384,88,-30.8636,30.3705,66.88,13.6
khandyga,100,RU,1635299384,96,62.6667,135.6,30.88,1.72
lagunas,98,PE,1635299385,94,-5.2269,-75.6753,69.46,2.15
ringkobing,100,DK,1635299385,91,56.0901,8.244,57.42,23.73
antalaha,4,MG,1635299385,81,-14.9003,50.2788,68.74,6.82
college,90,US,1635299386,91,64.8569,-147.8028,31.59,3.44
thompson,90,CA,1635299124,93,55.7435,-97.8558,37.56,6.91
huarmey,78,PE,1635299386,84,-10.0681,-78.1522,63.97,8.68
brainerd,1,US,1635299327,49,46.358,-94.2008,50.25,8.05
chumphon,100,TH,1635299387,80,10.3333,98.8333,73.51,3.42
ulaangom,36,MN,1635299387,53,49.9811,92.0667,36.09,1.16
minab,0,IR,1635299388,74,27.1467,57.0801,74.7,2.89
carutapera,98,BR,1635299388,81,-1.195,-46.02,79.34,9.33
ust-ilimsk,100,RU,1635299448,68,58.0006,102.6619,43.21,13.47
antsohihy,0,MG,1635299449,62,-14.8796,47.9875,73.4,7.09
djenne,13,ML,1635299449,32,13.9061,-4.5533,85.59,1.28
bako,78,ET,1635299449,72,5.7833,36.5667,65.07,3.04
villars-sur-glane,20,CH,1635299450,92,46.7905,7.1172,47.3,2.3
chany,80,RU,1635299450,77,55.3121,76.7647,27.37,10
volsk,46,RU,1635299450,67,52.0333,47.3833,32.92,8.72
bridlicna,100,CZ,1635299451,89,49.9117,17.3711,44.87,3.47
los llanos de aridane,75,ES,1635299451,78,28.6585,-17.9182,64.13,1.01
leh,100,IN,1635299452,72,34.1667,77.5833,27.09,0.87
boende,100,CD,1635299452,94,-0.2167,20.8667,71.15,1.63
nizhniy tsasuchey,7,RU,1635299453,49,50.5167,115.1333,43.95,7.09
scarborough,100,GB,1635299327,79,54.2797,-0.4044,60.62,5.99
sampit,74,ID,1635299453,62,-2.5333,112.95,88.39,3.09
sibolga,69,ID,1635299453,80,1.7427,98.7792,80.38,2.62
port-gentil,100,GA,1635299454,88,-0.7193,8.7815,77.45,13.76
bocas del toro,69,PA,1635299454,78,9.3333,-82.25,80.73,2.3
gondanglegi,90,ID,1635299454,56,-7.7479,112.0132,89.22,11.12
montes claros,0,BR,1635299455,60,-16.735,-43.8617,74.98,4.61
tilichiki,5,RU,1635299455,84,60.4667,166.1,10.47,5.12
zeya,99,RU,1635299456,71,53.75,127.2667,40.71,1.66
acapetahua,90,MX,1635299456,93,15.2833,-92.7,78.1,1.43
constitucion,6,MX,1635299456,71,23.9912,-104.6749,61.41,13.58
pindiga,100,NG,1635299457,83,9.9833,10.9333,74.26,3.56
parintins,25,BR,1635299457,75,-2.6283,-56.7358,78.89,2.51
yaring,100,TH,1635299457,77,6.8662,101.3689,83.28,1.79
watertown,90,US,1635299178,94,42.3709,-71.1828,55.42,7
san ramon,22,BO,1635299458,64,-13.2833,-64.7167,75.85,3.69
lichinga,75,MZ,1635299458,82,-13.3128,35.2406,66.29,12.66
saint-pierre,52,PM,1635299459,68,46.7654,-56.1695,48.63,0.98
hobyo,58,SO,1635299305,76,5.3505,48.5268,80.11,7.76
muli,99,MV,1635299459,76,2.9167,73.5667,81.97,13
uthai thani,100,TH,1635299459,86,15.3833,99.55,78.35,2.15
manokwari,92,ID,1635299460,69,-0.8667,134.0833,84.07,6.42
ballina,100,IE,1635299460,94,54.1167,-9.1667,57.7,12.8
araouane,10,ML,1635299460,20,18.9048,-3.5265,82.99,6.62
paamiut,0,GL,1635299461,56,61.994,-49.6678,37.2,8.08
chernyshevskiy,100,RU,1635299461,88,63.0128,112.4714,19.72,5.21
nipawin,90,CA,1635299462,100,53.3668,-104.0009,41.04,4.61
katangli,15,RU,1635299462,62,51.7102,143.2326,48.79,7.83
kabanjahe,99,ID,1635299463,95,3.1001,98.4908,65.16,0.63
lima,20,PE,1635299393,79,-12.0432,-77.0282,63.9,14.97
artvin,0,TR,1635299463,67,41.1667,41.8333,38.48,4.81
scottsboro,1,US,1635299464,87,34.6723,-86.0341,55.24,3.44
dicabisagan,38,PH,1635299464,64,17.0818,122.4157,84.16,8.61
colomi,69,BO,1635299464,70,-17.35,-65.8667,57.22,1.59
concepcion de buenos aires,12,MX,1635299465,96,19.9667,-103.2667,55.02,3.91
atar,95,MR,1635299465,24,20.5169,-13.0499,81.19,14.85
libreville,75,GA,1635299262,83,0.3925,9.4537,80.62,5.75
cambara,99,BR,1635299466,73,-23.0464,-50.0736,69.96,7.9
san rafael del sur,64,NI,1635299526,87,11.8485,-86.4384,79.77,4.36
baraboo,1,US,1635299526,77,43.4711,-89.7443,45.0,6.91
puerto palomas,0,MX,1635299527,22,31.7667,-107.6167,61.93,27.56
tigil,100,RU,1635299527,100,57.8,158.6667,32.61,2.17
shagonar,51,RU,1635299527,61,51.5333,92.8,38.53,1.99
beringovskiy,100,RU,1635299528,83,63.05,179.3167,8.73,22.95
groningen,69,SR,1635299528,95,5.8,-55.4667,78.85,6.2
pochutla,97,MX,1635299369,89,15.7432,-96.4661,80.82,4.65
karpathos,83,GR,1635299529,77,35.507,27.2132,62.56,4.61
laurens,1,US,1635299529,79,32.4502,-82.9165,62.98,3.44
caravelas,4,BR,1635299296,82,-17.7125,-39.2481,74.37,5.08
kariba,39,ZW,1635299529,56,-16.5167,28.8,76.95,4.47
presidente epitacio,100,BR,1635299530,69,-21.7633,-52.1156,74.3,4.18
linqiong,98,CN,1635299379,78,30.4159,103.4609,63.79,0.76
puerto carreno,100,CO,1635299530,89,6.189,-67.4859,77.4,3.04
msanga,76,TZ,1635299531,76,-6.05,36.0333,67.17,7.31
jalu,0,LY,1635299531,55,29.0331,21.5482,67.96,9.01
tougue,67,GN,1635299531,93,11.4667,-11.6,67.6,1.48
haradok,100,BY,1635299532,84,55.4624,29.9816,38.68,9.69
camocim,8,BR,1635299532,79,-2.9022,-40.8411,79.52,14.61
puerto varas,40,CL,1635299486,93,-41.3195,-72.9854,50.22,3.44
stornoway,75,GB,1635299346,87,58.2093,-6.3865,52.93,12.66
tynda,99,RU,1635299533,67,55.1667,124.7167,36.68,7.58
carnot,100,CF,1635299500,97,4.9409,15.8665,68.81,2.33
maku,0,IR,1635299533,39,39.2911,44.4521,34.84,0.87
terrenate,56,MX,1635299534,89,19.4833,-97.9167,53.46,3.74
sirur,0,IN,1635299534,57,18.8333,74.3833,71.67,5.46
sokoni,20,TZ,1635299534,79,-6.4333,39.55,78.42,14.05
changji,0,CN,1635299535,60,44.0167,87.3167,41.79,4.47
tondi,87,IN,1635299535,73,9.7333,79.0167,81.34,8.16
hit,3,IQ,1635299535,32,33.6416,42.8251,66.51,2.1
bumba,100,CD,1635299536,98,2.1833,22.4667,70.52,1.66
nabire,18,ID,1635299536,68,-3.3667,135.4833,85.86,4.43
mogadishu,13,SO,1635299536,80,2.0371,45.3438,79.09,10.25
comodoro rivadavia,0,AR,1635299359,34,-45.8667,-67.5,64.26,21.85
mogwase,6,ZA,1635299537,68,-25.185,27.2665,64.78,4.36
uni,100,RU,1635299537,96,57.7535,51.4923,29.28,9.6
lompoc,1,US,1635299534,72,34.6391,-120.4579,66.56,12.66
korla,1,CN,1635299537,39,41.7597,86.1469,46.67,2.89
honiara,68,SB,1635299538,63,-9.4333,159.95,88.81,3.98
makat,0,KZ,1635299538,60,47.6469,53.3463,33.03,6.06
labytnangi,89,RU,1635299539,86,66.6572,66.4183,13.78,5.48
